"licenseId","name","reference","active"
"CC-BY-SA-2.1-JP","Creative Commons Attribution Share Alike 2.1 Japan","https://spdx.org/licenses/CC-BY-SA-2.1-JP.html","true"
"CC-BY-SA-2.5","Creative Commons Attribution Share Alike 2.5 Generic","https://spdx.org/licenses/CC-BY-SA-2.5.html","true"
"CC-BY-SA-3.0","Creative Commons Attribution Share Alike 3.0 Unported","https://spdx.org/licenses/CC-BY-SA-3.0.html","true"
"CC-BY-SA-3.0-AT","Creative Commons Attribution Share Alike 3.0 Austria","https://spdx.org/licenses/CC-BY-SA-3.0-AT.html","true"
"CC-BY-SA-3.0-DE","Creative Commons Attribution Share Alike 3.0 Germany","https://spdx.org/licenses/CC-BY-SA-3.0-DE.html","true"
"CC-BY-SA-3.0-IGO","Creative Commons Attribution-ShareAlike 3.0 IGO","https://spdx.org/licenses/CC-BY-SA-3.0-IGO.html","true"
"CC-BY-SA-4.0","Creative Commons Attribution Share Alike 4.0 International","https://spdx.org/licenses/CC-BY-SA-4.0.html","true"
"CC-PDDC","Creative Commons Public Domain Dedication and Certification","https://spdx.org/licenses/CC-PDDC.html","true"
"CC0-1.0","Creative Commons Zero v1.0 Universal","https://spdx.org/licenses/CC0-1.0.html","true"
"CDDL-1.0","Common Development and Distribution License 1.0","https://spdx.org/licenses/CDDL-1.0.html","true"
"CDDL-1.1","Common Development and Distribution License 1.1","https://spdx.org/licenses/CDDL-1.1.html","true"
"CDL-1.0","Common Documentation License 1.0","https://spdx.org/licenses/CDL-1.0.html","true"
"CDLA-Permissive-1.0","Community Data License Agreement Permissive 1.0","https://spdx.org/licenses/CDLA-Permissive-1.0.html","true"
"CDLA-Permissive-2.0","Community Data License Agreement Permissive 2.0","https://spdx.org/licenses/CDLA-Permissive-2.0.html","true"
"CDLA-Sharing-1.0","Community Data License Agreement Sharing 1.0","https://spdx.org/licenses/CDLA-Sharing-1.0.html","true"
"CECILL-1.0","CeCILL Free Software License Agreement v1.0","https://spdx.org/licenses/CECILL-1.0.html","true"
"CECILL-1.1","CeCILL Free Software License Agreement v1.1","https://spdx.org/licenses/CECILL-1.1.html","true"
"CECILL-2.0","CeCILL Free Software License Agreement v2.0","https://spdx.org/licenses/CECILL-2.0.html","true"
"CECILL-2.1","CeCILL Free Software License Agreement v2.1","https://spdx.org/licenses/CECILL-2.1.html","true"
"CECILL-B","CeCILL-B Free Software License Agreement","https://spdx.org/licenses/CECILL-B.html","true"
"CECILL-C","CeCILL-C Free Software License Agreement","https://spdx.org/licenses/CECILL-C.html","true"
"CERN-OHL-1.1","CERN Open Hardware Licence v1.1","https://spdx.org/licenses/CERN-OHL-1.1.html","true"
"CERN-OHL-1.2","CERN Open Hardware Licence v1.2","https://spdx.org/licenses/CERN-OHL-1.2.html","true"
"CERN-OHL-P-2.0","CERN Open Hardware Licence Version 2 - Permissive","https://spdx.org/licenses/CERN-OHL-P-2.0.html","true"
"CERN-OHL-S-2.0","CERN Open Hardware Licence Version 2 - Strongly Reciprocal","https://spdx.org/licenses/CERN-OHL-S-2.0.html","true"
"CERN-OHL-W-2.0","CERN Open Hardware Licence Version 2 - Weakly Reciprocal","https://spdx.org/licenses/CERN-OHL-W-2.0.html","true"
"CFITSIO","CFITSIO License","https://spdx.org/licenses/CFITSIO.html","true"
"check-cvs","check-cvs License","https://spdx.org/licenses/check-cvs.html","true"
"checkmk","Checkmk License","https://spdx.org/licenses/checkmk.html","true"
"ClArtistic","Clarified Artistic License","https://spdx.org/licenses/ClArtistic.html","true"
"Clips","Clips License","https://spdx.org/licenses/Clips.html","true"
"CMU-Mach","CMU Mach License","https://spdx.org/licenses/CMU-Mach.html","true"
"CNRI-Jython","CNRI Jython License","https://spdx.org/licenses/CNRI-Jython.html","true"
"CNRI-Python","CNRI Python License","https://spdx.org/licenses/CNRI-Python.html","true"
"CNRI-Python-GPL-Compatible","CNRI Python Open Source GPL Compatible License Agreement","https://spdx.org/licenses/CNRI-Python-GPL-Compatible.html","true"
"COIL-1.0","Copyfree Open Innovation License","https://spdx.org/licenses/COIL-1.0.html","true"
"Community-Spec-1.0","Community Specification License 1.0","https://spdx.org/licenses/Community-Spec-1.0.html","true"
"Condor-1.1","Condor Public License v1.1","https://spdx.org/licenses/Condor-1.1.html","true"
"copyleft-next-0.3.0","copyleft-next 0.3.0","https://spdx.org/licenses/copyleft-next-0.3.0.html","true"
"copyleft-next-0.3.1","copyleft-next 0.3.1","https://spdx.org/licenses/copyleft-next-0.3.1.html","true"
"Cornell-Lossless-JPEG","Cornell Lossless JPEG License","https://spdx.org/licenses/Cornell-Lossless-JPEG.html","true"
"CPAL-1.0","Common Public Attribution License 1.0","https://spdx.org/licenses/CPAL-1.0.html","true"
"CPL-1.0","Common Public License 1.0","https://spdx.org/licenses/CPL-1.0.html","true"
"CPOL-1.02","Code Project Open License 1.02","https://spdx.org/licenses/CPOL-1.02.html","true"
"Crossword","Crossword License","https://spdx.org/licenses/Crossword.html","true"
"CrystalStacker","CrystalStacker License","https://spdx.org/licenses/CrystalStacker.html","true"
"CUA-OPL-1.0","CUA Office Public License v1.0","https://spdx.org/licenses/CUA-OPL-1.0.html","true"
"Cube","Cube License","https://spdx.org/licenses/Cube.html","true"
"curl","curl License","https://spdx.org/licenses/curl.html","true"
"D-FSL-1.0","Deutsche Freie Software Lizenz","https://spdx.org/licenses/D-FSL-1.0.html","true"
"diffmark","diffmark license","https://spdx.org/licenses/diffmark.html","true"
"DL-DE-BY-2.0","Data licence Germany – attribution – version 2.0","https://spdx.org/licenses/DL-DE-BY-2.0.html","true"
"DOC","DOC License","https://spdx.org/licenses/DOC.html","true"
"Dotseqn","Dotseqn License","https://spdx.org/licenses/Dotseqn.html","true"
"DRL-1.0","Detection Rule License 1.0","https://spdx.org/licenses/DRL-1.0.html","true"
"DSDP","DSDP License","https://spdx.org/licenses/DSDP.html","true"
"dtoa","David M. Gay dtoa License","https://spdx.org/licenses/dtoa.html","true"
"dvipdfm","dvipdfm License","https://spdx.org/licenses/dvipdfm.html","true"
"ECL-1.0","Educational Community License v1.0","https://spdx.org/licenses/ECL-1.0.html","true"
"ECL-2.0","Educational Community License v2.0","https://spdx.org/licenses/ECL-2.0.html","true"
"eCos-2.0","eCos license version 2.0","https://spdx.org/licenses/eCos-2.0.html","false"
"EFL-1.0","Eiffel Forum License v1.0","https://spdx.org/licenses/EFL-1.0.html","true"
"EFL-2.0","Eiffel Forum License v2.0","https://spdx.org/licenses/EFL-2.0.html","true"
"eGenix","eGenix.com Public License 1.1.0","https://spdx.org/licenses/eGenix.html","true"
"Elastic-2.0","Elastic License 2.0","https://spdx.org/licenses/Elastic-2.0.html","true"
"Entessa","Entessa Public License v1.0","https://spdx.org/licenses/Entessa.html","true"
"EPICS","EPICS Open License","https://spdx.org/licenses/EPICS.html","true"
"EPL-1.0","Eclipse Public License 1.0","https://spdx.org/licenses/EPL-1.0.html","true"
"EPL-2.0","Eclipse Public License 2.0","https://spdx.org/licenses/EPL-2.0.html","true"
"ErlPL-1.1","Erlang Public License v1.1","https://spdx.org/licenses/ErlPL-1.1.html","true"
"etalab-2.0","Etalab Open License 2.0","https://spdx.org/licenses/etalab-2.0.html","true"
"EUDatagrid","EU DataGrid Software License","https://spdx.org/licenses/EUDatagrid.html","true"
"EUPL-1.0","European Union Public License 1.0","https://spdx.org/licenses/EUPL-1.0.html","true"
"EUPL-1.1","European Union Public License 1.1","https://spdx.org/licenses/EUPL-1.1.html","true"
"EUPL-1.2","European Union Public License 1.2","https://spdx.org/licenses/EUPL-1.2.html","true"
"Eurosym","Eurosym License","https://spdx.org/licenses/Eurosym.html","true"
"Fair","Fair License","https://spdx.org/licenses/Fair.html","true"
"FDK-AAC","Fraunhofer FDK AAC Codec Library","https://spdx.org/licenses/FDK-AAC.html","true"
"Frameworx-1.0","Frameworx Open License 1.0","https://spdx.org/licenses/Frameworx-1.0.html","true"
"FreeBSD-DOC","FreeBSD Documentation License","https://spdx.org/licenses/FreeBSD-DOC.html","true"
"FreeImage","FreeImage Public License v1.0","https://spdx.org/licenses/FreeImage.html","true"
"FSFAP","FSF All Permissive License","https://spdx.org/licenses/FSFAP.html","true"
"FSFUL","FSF Unlimited License","https://spdx.org/licenses/FSFUL.html","true"
"FSFULLR","FSF Unlimited License (with License Retention)","https://spdx.org/licenses/FSFULLR.html","true"
